"","scientific.name","common.name","iconic.taxon.name","observed.on","place.guess","latitude","longitude","positional.accuracy","user.id","captive.cultivated","url","image.url"
"106","Sarracenia purpurea","purple pitcher plant","Plantae","2022-08-21","Hancock County, US-ME, US",44.38228436,-68.3950023169,4,2846903,"false","https://www.inaturalist.org/observations/131959023","https://inaturalist-open-data.s3.amazonaws.com/photos/224646647/medium.jpg"
"107","Comptonia peregrina","sweetfern","Plantae","2022-08-22","Acadia National Park, Bass Harbor, ME, US",44.2402083333,-68.3038783333,4,2846903,"false","https://www.inaturalist.org/observations/131958959","https://inaturalist-open-data.s3.amazonaws.com/photos/224646530/medium.jpg"
"108","Pontederia cordata","pickerelweed","Plantae","2022-08-22","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3357999716,-68.1919851155,390,4229344,"false","https://www.inaturalist.org/observations/131953464","https://inaturalist-open-data.s3.amazonaws.com/photos/224635397/medium.jpg"
"109","Viburnum cassinoides","northern wild raisin","Plantae","2022-08-22","Acadia National Park, Hancock County, US-ME, US",44.3363138563,-68.0593410115,295,2955050,"false","https://www.inaturalist.org/observations/131936018","https://inaturalist-open-data.s3.amazonaws.com/photos/224602484/medium.jpg"
"110","Comptonia peregrina","sweetfern","Plantae","2022-08-22","Acadia National Park, Hancock County, US-ME, US",44.3368575766,-68.0602721263,168,2955050,"false","https://www.inaturalist.org/observations/131935961","https://inaturalist-open-data.s3.amazonaws.com/photos/224602410/medium.jpg"
"111","Danaus plexippus","monarch","Insecta","2022-08-22","Parque Nacional Acadia, Bar Harbor, ME, US",44.3975977321,-68.2093139459,5,3045809,"false","https://www.inaturalist.org/observations/131905525","https://inaturalist-open-data.s3.amazonaws.com/photos/224544433/medium.jpg"
"112","Aralia nudicaulis","wild sarsaparilla","Plantae","2022-08-22","Northeast Harbor, ME 04662, USA",44.31336207,-68.28411588,11,3020288,"false","https://www.inaturalist.org/observations/131892051","https://inaturalist-open-data.s3.amazonaws.com/photos/224519201/medium.jpeg"
"113","Dissosteira carolina","carolina grasshopper","Insecta","2022-08-21","Southwest Harbor, ME 04679, USA",44.2255363958,-68.3182789385,16,427924,"false","https://www.inaturalist.org/observations/131835209","https://inaturalist-open-data.s3.amazonaws.com/photos/224414465/medium.jpeg"
"114","Calystegia sepium","hedge bindweed","Plantae","2022-08-20","Winter Harbor, ME 04693, USA",44.3342541,-68.0471698,NA,4465482,"false","https://www.inaturalist.org/observations/131824367","https://inaturalist-open-data.s3.amazonaws.com/photos/224393729/medium.jpeg"
"115","Lycomorpha pholus","black-and-yellow lichen moth","Insecta","2022-08-20","Winter Harbor, ME 04693, USA",44.3342360997,-68.0472630997,NA,4465482,"false","https://www.inaturalist.org/observations/131824199","https://inaturalist-open-data.s3.amazonaws.com/photos/224393360/medium.jpeg"
"116","Spiraea alba","white meadowsweet","Plantae","2022-08-20","Winter Harbor, ME 04693, USA",44.3318749722,-68.0491439722,NA,4465482,"false","https://www.inaturalist.org/observations/131823981","https://inaturalist-open-data.s3.amazonaws.com/photos/224393014/medium.jpeg"
"117","Juniperus communis","common juniper","Plantae","2022-08-20","Winter Harbor, ME 04693, USA",44.3321919722,-68.049879,NA,4465482,"false","https://www.inaturalist.org/observations/131823316","https://inaturalist-open-data.s3.amazonaws.com/photos/224391720/medium.jpeg"
"118","Morella pensylvanica","northern bayberry","Plantae","2022-08-20","Winter Harbor, ME 04693, USA",44.332332,-68.05021,NA,4465482,"false","https://www.inaturalist.org/observations/131823209","https://inaturalist-open-data.s3.amazonaws.com/photos/224391520/medium.jpeg"
"119","Osmundastrum cinnamomeum","cinnamon fern","Plantae","2022-08-20","Winter Harbor, ME 04693, USA",44.333244,-68.0517889722,NA,4465482,"false","https://www.inaturalist.org/observations/131822385","https://inaturalist-open-data.s3.amazonaws.com/photos/224389823/medium.jpeg"
"120","Morella pensylvanica","northern bayberry","Plantae","2022-08-20","Winter Harbor, ME 04693, USA",44.333176,-68.051568,NA,4465482,"false","https://www.inaturalist.org/observations/131822234","https://inaturalist-open-data.s3.amazonaws.com/photos/224389524/medium.jpeg"
"121","Symphyotrichum novi-belgii","new york aster","Plantae","2022-08-20","Winter Harbor, ME 04693, USA",44.331727,-68.048882,NA,4465482,"false","https://www.inaturalist.org/observations/131812028","https://inaturalist-open-data.s3.amazonaws.com/photos/224368459/medium.jpeg"
"122","Solidago sempervirens","northern seaside goldenrod","Plantae","2022-08-20","Winter Harbor, ME 04693, USA",44.331792,-68.048569,NA,4465482,"false","https://www.inaturalist.org/observations/131811360","https://inaturalist-open-data.s3.amazonaws.com/photos/224367139/medium.jpeg"
"123","Rhodiola rosea","roseroot","Plantae","2022-08-20","Winter Harbor, ME 04693, USA",44.3318431,-68.0485761997,NA,4465482,"false","https://www.inaturalist.org/observations/131811218","https://inaturalist-open-data.s3.amazonaws.com/photos/224366808/medium.jpeg"
"124","Sagina procumbens","procumbent pearlwort","Plantae","2022-08-20","Winter Harbor, ME 04693, USA",44.3329455,-68.0480246,NA,4465482,"false","https://www.inaturalist.org/observations/131811156","https://inaturalist-open-data.s3.amazonaws.com/photos/224366677/medium.jpeg"
"125","Potentilla norvegica","rough cinquefoil","Plantae","2022-08-20","Winter Harbor, ME 04693, USA",44.3329599722,-68.048033,NA,4465482,"false","https://www.inaturalist.org/observations/131811089","https://inaturalist-open-data.s3.amazonaws.com/photos/224366537/medium.jpeg"
"126","Cuscuta gronovii","scaldweed","Plantae","2022-08-20","Winter Harbor, ME 04693, USA",44.33337,-68.047852,NA,4465482,"false","https://www.inaturalist.org/observations/131810878","https://inaturalist-open-data.s3.amazonaws.com/photos/224366102/medium.jpeg"
"127","Scutellaria galericulata","marsh skullcap","Plantae","2022-08-20","Winter Harbor, ME 04693, USA",44.3342659722,-68.0472199722,NA,4465482,"false","https://www.inaturalist.org/observations/131810695","https://inaturalist-open-data.s3.amazonaws.com/photos/224365809/medium.jpeg"
"128","Geranium robertianum","herb robert","Plantae","2022-08-20","Winter Harbor, ME 04693, USA",44.335138,-68.0463859722,NA,4465482,"false","https://www.inaturalist.org/observations/131810573","https://inaturalist-open-data.s3.amazonaws.com/photos/224365596/medium.jpeg"
"129","Potentilla norvegica","rough cinquefoil","Plantae","2022-08-20","Winter Harbor, ME 04693, USA",44.3360339722,-68.0461999722,NA,4465482,"false","https://www.inaturalist.org/observations/131810424","https://inaturalist-open-data.s3.amazonaws.com/photos/224365354/medium.jpeg"
"130","Morella pensylvanica","northern bayberry","Plantae","2022-08-21","Acadia National Park, Bar Harbor, ME, US",44.3269628343,-68.1779482771,476,1037991,"false","https://www.inaturalist.org/observations/131792955","https://inaturalist-open-data.s3.amazonaws.com/photos/224333383/medium.jpg"
"131","Cornus canadensis","canadian bunchberry","Plantae","2022-08-21","Acadia National Park, Bar Harbor, ME, US",44.3330340465,-68.1781897139,179,1037991,"false","https://www.inaturalist.org/observations/131792201","https://inaturalist-open-data.s3.amazonaws.com/photos/224331951/medium.jpg"
"132","Ascophyllum nodosum","knotted wrack","Chromista","2022-08-21","Acadia National Park, Bar Harbor, ME, US",44.3320172806,-68.1767913355,247,1037991,"false","https://www.inaturalist.org/observations/131792049","https://inaturalist-open-data.s3.amazonaws.com/photos/224331586/medium.jpg"
"133","Spiraea alba","white meadowsweet","Plantae","2022-08-21","Mt Desert, ME 04660, USA",44.3064527778,-68.2012583333,NA,316327,"false","https://www.inaturalist.org/observations/131790194","https://inaturalist-open-data.s3.amazonaws.com/photos/224328378/medium.jpeg"
"134","Lobaria pulmonaria","tree lungwort","Fungi","2022-08-21","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3131909,-68.2874747997,NA,16276,"false","https://www.inaturalist.org/observations/131772657","https://inaturalist-open-data.s3.amazonaws.com/photos/224296510/medium.jpeg"
"135","Nymphaea odorata","american white waterlily","Plantae","2022-08-21","Northeast Harbor, ME 04662, USA",44.3094651997,-68.2865821,NA,16276,"false","https://www.inaturalist.org/observations/131765794","https://inaturalist-open-data.s3.amazonaws.com/photos/224296389/medium.jpeg"
"136","Pontederia cordata","pickerelweed","Plantae","2022-08-21","Northeast Harbor, ME 04662, USA",44.3094724997,-68.2865769,NA,16276,"false","https://www.inaturalist.org/observations/131765330","https://inaturalist-open-data.s3.amazonaws.com/photos/224296121/medium.jpeg"
"137","Ilex mucronata","mountain holly","Plantae","2022-08-18","Winter Harbor, ME 04693, USA",44.3367333333,-68.062875,NA,1151163,"false","https://www.inaturalist.org/observations/131625277","https://inaturalist-open-data.s3.amazonaws.com/photos/224021288/medium.jpeg"
"138","Cornus canadensis","canadian bunchberry","Plantae","2022-08-18","Winter Harbor, ME 04693, USA",44.33671,-68.0632483333,NA,1151163,"false","https://www.inaturalist.org/observations/131617152","https://inaturalist-open-data.s3.amazonaws.com/photos/224021248/medium.jpeg"
"139","Prunus virginiana","chokecherry","Plantae","2022-08-20","Acadia National Park, Birch Harbor, ME, US",44.3755237354,-68.0750138616,6,6015567,"false","https://www.inaturalist.org/observations/131616506","https://inaturalist-open-data.s3.amazonaws.com/photos/224005792/medium.jpg"
"140","Urocerus taxodii","","Insecta","2022-08-20","Acadia National Park, Birch Harbor, ME, US",44.3403165596,-68.0632172904,145,255732,"false","https://www.inaturalist.org/observations/131598371","https://inaturalist-open-data.s3.amazonaws.com/photos/223973671/medium.jpg"
"141","Lycaena phlaeas","small copper","Insecta","2022-08-20","Birch Harbor",44.3760681152,-68.0749664307,4,242755,"false","https://www.inaturalist.org/observations/131597933","https://inaturalist-open-data.s3.amazonaws.com/photos/223973098/medium.jpeg"
"142","Danaus plexippus","monarch","Insecta","2022-08-20","Acadia National Park, Birch Harbor, ME, US",44.3353416667,-68.0592583333,4,1552603,"false","https://www.inaturalist.org/observations/131596933","https://inaturalist-open-data.s3.amazonaws.com/photos/223984029/medium.jpg"
"143","Lycaena phlaeas","small copper","Insecta","2022-08-20","Acadia National Park, Birch Harbor, ME, US",44.33538,-68.0591666667,4,1552603,"false","https://www.inaturalist.org/observations/131596825","https://inaturalist-open-data.s3.amazonaws.com/photos/223970900/medium.jpg"
"144","Coenonympha california","common ringlet","Insecta","2022-08-20","Acadia National Park, Birch Harbor, ME, US",44.3353716667,-68.0591888333,4,1552603,"false","https://www.inaturalist.org/observations/131596394","https://inaturalist-open-data.s3.amazonaws.com/photos/223970623/medium.jpg"
"145","Polistes fuscatus","dark paper wasp","Insecta","2022-08-20","Acadia National Park, Birch Harbor, ME, US",44.335655,-68.0580833333,4,1552603,"false","https://www.inaturalist.org/observations/131596149","https://inaturalist-open-data.s3.amazonaws.com/photos/223969840/medium.jpg"
"146","Sericomyia chrysotoxoides","oblique-banded pond fly","Insecta","2022-08-20","Acadia National Park, Birch Harbor, ME, US",44.3358616667,-68.057975,4,1552603,"false","https://www.inaturalist.org/observations/131595634","https://inaturalist-open-data.s3.amazonaws.com/photos/223969757/medium.jpg"
"147","Cisseps fulvicollis","yellow-collared scape moth","Insecta","2022-08-20","Acadia National Park, Birch Harbor, ME, US",44.3353633333,-68.0590666667,5,6045679,"false","https://www.inaturalist.org/observations/131595577","https://inaturalist-open-data.s3.amazonaws.com/photos/223968882/medium.jpg"
"148","Danaus plexippus","monarch","Insecta","2022-08-20","Acadia National Park, Birch Harbor, ME, US",44.3352533333,-68.0591361667,5,6045679,"false","https://www.inaturalist.org/observations/131595389","https://inaturalist-open-data.s3.amazonaws.com/photos/223968489/medium.jpg"
"149","Cercyonis pegala","common wood-nymph","Insecta","2022-08-20","Acadia National Park, Birch Harbor, ME, US",44.3353366667,-68.0591805,5,6045679,"false","https://www.inaturalist.org/observations/131595135","https://inaturalist-open-data.s3.amazonaws.com/photos/223968011/medium.jpg"
"150","Popillia japonica","japanese beetle","Insecta","2022-08-20","Winter Harbor, ME 04693, USA",44.3358333333,-68.0594444444,NA,531333,"false","https://www.inaturalist.org/observations/131595127","https://inaturalist-open-data.s3.amazonaws.com/photos/223967996/medium.jpeg"
"151","Cercyonis pegala","common wood-nymph","Insecta","2022-08-20","Acadia National Park, Birch Harbor, ME, US",44.3353383333,-68.0592028333,5,6045679,"false","https://www.inaturalist.org/observations/131594846","https://inaturalist-open-data.s3.amazonaws.com/photos/223967538/medium.jpg"
"152","Cercyonis pegala","common wood-nymph","Insecta","2022-08-20","Winter Harbor, ME 04693, USA",44.3358333333,-68.0594444444,NA,531333,"false","https://www.inaturalist.org/observations/131594839","https://inaturalist-open-data.s3.amazonaws.com/photos/223967514/medium.jpeg"
"153","Popillia japonica","japanese beetle","Insecta","2022-08-20","Acadia National Park, Birch Harbor, ME, US",44.335795,-68.0580971667,16,1552603,"false","https://www.inaturalist.org/observations/131594535","https://inaturalist-open-data.s3.amazonaws.com/photos/223966970/medium.jpg"
"154","Cornus canadensis","canadian bunchberry","Plantae","2022-08-20","Acadia National Park, Hancock County, US-ME, US",44.3366728088,-68.0632600174,8,531333,"false","https://www.inaturalist.org/observations/131594454","https://inaturalist-open-data.s3.amazonaws.com/photos/223966813/medium.jpeg"
"155","Daucus carota","wild carrot","Plantae","2022-08-20","Acadia National Park, Birch Harbor, ME, US",44.3358033333,-68.0585861667,4,1552603,"false","https://www.inaturalist.org/observations/131594118","https://inaturalist-open-data.s3.amazonaws.com/photos/223966126/medium.jpg"
"156","Catocala antinympha","sweetfern underwing moth","Insecta","2022-08-20","Acadia National Park, Bass Harbor, ME, US",44.2405533333,-68.3039383333,17,1350093,"false","https://www.inaturalist.org/observations/131593757","https://static.inaturalist.org/photos/223965547/medium.jpg"
"157","Ilex mucronata","mountain holly","Plantae","2022-08-20","Acadia National Park, Hancock County, US-ME, US",44.3365928433,-68.0640501491,44,6045673,"false","https://www.inaturalist.org/observations/131592843","https://static.inaturalist.org/photos/223963690/medium.jpg"
"158","Xanthoria parietina","common sunburst lichen","Fungi","2022-08-20","Acadia National Park, Hancock County, US-ME, US",44.34068,-68.0653695,20,255732,"false","https://www.inaturalist.org/observations/131592517","https://inaturalist-open-data.s3.amazonaws.com/photos/223962965/medium.jpg"
"159","Carcinus maenas","european green crab","Animalia","2022-08-20","Acadia National Park, Hancock County, US-ME, US",44.3406633333,-68.0653,7,255732,"false","https://www.inaturalist.org/observations/131592326","https://inaturalist-open-data.s3.amazonaws.com/photos/223962579/medium.jpg"
"160","Fucus vesiculosus","bladder wrack","Chromista","2022-08-20","Acadia National Park, Hancock County, US-ME, US",44.3407283333,-68.0654971667,23,255732,"false","https://www.inaturalist.org/observations/131592202","https://inaturalist-open-data.s3.amazonaws.com/photos/223962324/medium.jpg"
